url,date_time,category,title,description
https://thebell.io/myneznaem-predelov-terpeniya-rossiyskikh-grazhdan-sergey-guriev-o-prichinakh-i-ekonomike-mobilizatsii,7 октября 2022,Русские норм!,«Мы не знаем пределов терпения российских граждан». Сергей Гуриев — о причинах и экономике мобилизации,"Основательница The Bell и проекта «Русские норм!» Елизавета Осетинская (признана Минюстом иноагентом) специально встретилась с Сергеем Гуриевым в Париже спустя неделю после объявления в России так называемой частичной мобилизации. Известный ученый-экономист, а в прошлом ректор РЭШ, совсем недавно Сергей получил должность провоста Sciences Po (Парижского Института политических исследований). The Bell публикует сокращенную версию интервью с Гуриевым о том, что волнует сейчас всех — о мобилизации и ee экономике, о диктаторах и их режимах, о людях и свободе, о санкциях и газовом кризисе, о том, замерзнет ли все-таки Европа этой зимой (спойлер — нет), о будущем России и о том, может ли Путин все-таки нажать на «ядерную» кнопку. Полную версию смотрите здесь."
https://thebell.io/prodazhi-legkovykh-avtomobiley-v-rossii-upali-na-60,6 октября 2022,Новости,Продажи легковых автомобилей в России упали на 60%,"Продажи новых легковых и легких коммерческих автомобилей (LCV) на российском рынке в сентябре снизились на 59,6% в годовом измерении, оценила Ассоциация европейского бизнеса (АЕБ). За месяц было продано 46 698 новых машин против 115 599 в сентябре 2021 года."
https://thebell.io/30-let-pod-sanktsiyami-desyat-urokov-yuar-vremen-aparteida-dlya-rossiyskoy-ekonomiki,6 октября 2022,Bell.Инвестиции,30 лет под санкциями. Десять уроков ЮАР времен апартеида для российской экономики,"Российская экономика не рухнула под натиском первых санкций — самые мрачные прогнозы не сбылись. Но какие у нее долгосрочные перспективы? Чтобы ответить на этот вопрос, Александр Исаков, экономист Bloomberg Economics по России, и Боинготло Гасеалахве, покрывающая Африку, изучили опыт ЮАР. Эта страна попала под санкции из-за режима апартеида и жила под ними с 1960-х по 1990-е годы. Ее опыт показывает, что барьеры для торговли и потоков капитала душат конкуренцию, повышают неэффективность и серьезно ограничивают долгосрочные темпы роста. Рассказываем, как жила под санкциями экономика ЮАР и какие выводы на основании ее опыта можно сделать для современной России."
https://thebell.io/chem-rossiyskaya-ekonomika-zaplatit-za-mobilizatsiyu-i-eskalatsiyu-konflikta,3 октября 2022,Bell.Инвестиции,Чем российская экономика заплатит за мобилизацию и эскалацию конфликта,"Российский рынок акций продолжает снижаться: после падения на 14% на позапрошлой неделе на прошлой индекс Мосбиржи снизился еще на 6,3%. При этом опасения инвесторов только растут: индекс волатильности RIV за неделю вырос на 25%. И их можно понять: мобилизация и не признанное никем в мире присоединение территорий Украины увеличивают риски для российской экономики и еще больше затрудняют оценку акций. Рассказываем, что будет с экономикой в новой реальности."
https://thebell.io/iz-severnogo-potoka--2-vyshel-ves-gaz,2 октября 2022,Новости,Из «Северного потока — 2» вышел весь газ,"Давление на поврежденном «Северном потоке — 2» стабилизировалось, сообщило Датское энергетическое агентство со ссылкой на оператора проекта Nord Stream 2 AG. Это означает, что весь газ из трубопровода вышел."
https://thebell.io/ssha-vveli-novye-sanktsii-protiv-neskolkikh-desyatkov-rossiyan,30 сентября 2022,Новости,США ввели новые санкции против нескольких десятков россиян,"США объявили о новых санкциях против России после того, как Владимир Путин подписал договоры с ЛНР, ДНР, Херсоном и Запорожьем о вхождении в РФ. Ограничения коснулись нескольких десятков физических лиц, в основном это депутаты Госдумы и сенаторы."
https://thebell.io/nichego-khoroshego-neozhidaetsya-ekonomist-dmitriy-polevoy--o-perspektivakh-rossiyskoy-ekonomiki-posle-mobilizatsii,30 сентября 2022,Интервью,«Ничего хорошего не ожидается». Экономист Дмитрий Полевой — о перспективах российской экономики после мобилизации,"Объявленная на прошлой неделе мобилизация, не признанные во всем мире референдумы и присоединение ДНР, ЛНР, а также Херсонской и Запорожской областей значительно увеличили неопределенность в отношении перспектив российской экономики. До конца не ясны масштаб мобилизации и утечки мозгов. Также ожидается введение новых санкций. О том, какие экономические последствия нас ждут, мы поговорили с Дмитрием Полевым, директором по инвестициям УК «Локо-Инвест»."
https://thebell.io/vvedenie-voennogo-polozheniya-mozhet-privesti-k-rezkomu-padeniyu-aktsiy-i-obligatsiy,28 сентября 2022,Мнения,Введение военного положения может привести к резкому падению акций и облигаций — «Локо Инвест»,"В случае введения военного положения инвесторы в числе прочего могут столкнуться с резким падением цен активов и приостановкой торгов, а контроль над компаниями и их дивидендной и долговой политиками может временно перейти к государству, говорится в аналитическом отчете Дмитрия Полевого, директора по инвестициям УК «Локо-Инвест» (есть у The Bell)."
https://thebell.io/tarify-zhkkh-s-dekabrya-povysyat-vtoroy-raz-v-etom-godu,23 сентября 2022,Новости,Тарифы ЖКХ с декабря повысят второй раз в этом году,"Новая индексация тарифов ЖКХ пройдет на восемь месяцев раньше, чем планировалось, сообщило Минэкономразвития. Вместо июля 2023 года цены на коммунальные услуги вырастут с 1 декабря этого года. После этого правительство обещает не повышать тарифы полтора года, до июля 2024-го."
https://thebell.io/nabiullina-predupredila-o-skorom-zavershenii-tsikla-snizheniya-stavki,16 сентября 2022,Новости,Набиуллина предупредила о скором завершении цикла снижения ставки,"Цикл снижения ключевой ставки, скорее всего, близок к завершению, заявила Эльвира Набиуллина. В пятницу ЦБ в шестой раз подряд снизил ставку — на 0,5 процентного пункта, до 7,5% годовых. «С этим уровнем ключевой ставки мы оцениваем, что находимся в зоне нейтральной денежно-кредитной политики», — отметила Набиуллина."
https://thebell.io/tsentrobank-snizil-klyuchevuyu-stavku-do-75-godovykh,16 сентября 2022,Новости,"Центробанк снизил ключевую ставку до 7,5% годовых","Совет директоров ЦБ ожидаемо снизил ключевую ставку на 50 б.п. — до 7,5% годовых. Регулятор отметил, что темпы прироста потребительских цен остаются низкими, способствуя дальнейшему замедлению годовой инфляции, динамика деловой активности складывается лучше, чем ЦБ предполагал в июле, но внешние условия для российской экономики остаются сложными."
https://thebell.io/dobycha-nefti-v-rossii-v-avguste-upala-vpervye-s-aprelya--mea,14 сентября 2022,Новости,Добыча нефти в России в августе упала впервые с апреля — МЭА,"Добыча нефти и конденсата в России в августе снизилась на 170 тысяч баррелей в сутки (б/с) по сравнению с июлем, до 10,96 млн б/с. Такие данные приводит Международное энергетическое агентство (МЭА). К концу года оно ждет дальнейшего снижения, особенно в декабре, когда в силу вступит нефтяное эмбарго. В начале следующего года добыча будет на уровне 9,6 млн б/с, прогнозирует МЭА."
https://thebell.io/fondovyy-rynok-ssha-perezhil-khudshiy-den-s-leta-2020-goda,14 сентября 2022,Новости,Фондовый рынок США пережил худший день с лета 2020 года,"Американский и азиатские фондовые рынки отреагировали обвалом на вчерашние данные об инфляции в США, которые оказались хуже прогнозов. Продолжающийся рост потребительских цен и другие факторы практически гарантируют новое повышение ставки ФРС еще на 0,75 п.п. на следующей неделе. Это заставляет инвесторов избавляться от рисковых активов. Эхо обвала дошло даже до российского рынка акций, отмечают аналитики."
https://thebell.io/inflyatsiya-v-ssha-zamedlilas-do-83-i-okazalas-khuzhe-prognozov,13 сентября 2022,Новости,"Инфляция в США замедлилась до 8,3% и оказалась хуже прогнозов","Инфляция в США в годовом выражении замедлилась до 8,3% по итогам августа с 8,5% в июле. Этот и другие показатели оказались хуже прогнозов аналитиков, что практически гарантирует новое повышение ставки ФРС еще на 0,75 п.п., пишет Bloomberg."
https://thebell.io/analitiki-sprognozirovali-tyaguchuyu-inflyatsiyu-v-rossii,10 сентября 2022,Новости,Аналитики спрогнозировали «тягучую» инфляцию в России,"По итогам этого года инфляция в России может составить 11–14%, считают экономисты Центра макроэкономического анализа и краткосрочного прогнозирования. А в 2023-м, по их оценкам, страну ждет период «тягучей», умеренно высокой инфляции — до 7%."
https://thebell.io/ssha-prigrozili-sanktsiyami-za-pokupki-rossiyskoy-nefti-po-tsene-vyshe-limita,10 сентября 2022,Новости,США пригрозили санкциями за покупки российской нефти по цене выше лимита,"Американские санкции грозят компаниям, которые решат закупать нефть из России выше предельных цен. А в случае соблюдения лимита им могут разрешить морскую перевозку российского топлива."
https://thebell.io/evrosoyuz-ne-smog-dogovoritsya-o-potolke-tsen-na-rossiyskiy-gaz,9 сентября 2022,Новости,Евросоюз не смог договориться о потолке цен на российский газ,"Министры энергетики стран ЕС, как и ожидалось, не смогли договориться о введении потолка цен на российский газ. По словам еврокомиссара Кадри Симсон, на это потребуется «немного больше времени». На следующей неделе министры энергетики представят «беспрецедентные меры» по борьбе с энергокризисом, сказала она. По словам итальянского министра энергетики, только три страны ЕС из 27 поддержали ограничение цены на российский газ, 15 считают, что потолок нужно ввести не только для России, но и для других поставщиков газа."
https://thebell.io/putin-dopustil-vozmozhnost-ogranicheniya-vyvoza-zerna-iz-ukrainy,7 сентября 2022,Новости,Путин допустил возможность ограничения вывоза зерна из Украины,"Выступая на пленарном заседании Восточного экономического форума (ВЭФ), Владимир Путин сегодня заявил, что обсудит с турецким коллегой Реджепом Тайипом Эрдоганом возможное ограничение на вывоз зерна с Украины в Европу. По словам Путина, зерновая сделка была заключена при посредничестве Турции с целью обеспечить беднейшие страны продовольствием, а в итоге 97% зерна с Украины ушло в страны ЕС. По программе ООН было загружено «всего 2 корабля из 87»."
https://thebell.io/bloomberg-uznal-o-zakrytom-pessimistichnom-prognoze-pravitelstva,5 сентября 2022,Новости,Bloomberg узнал о закрытом пессимистичном прогнозе правительства,"Падение российской экономики может быть более глубоким и долгим, чем следует из официальных прогнозов властей. Более пессимистичный сценарий развития событий описан во внутреннем отчете правительства, подготовленном для закрытого совещания, пишет Bloomberg. Издание ознакомилось с документом, подлинность которого подтвердили источники. Этот закрытый прогноз выглядит гораздо более мрачным, чем обнародованные публично."
https://thebell.io/voyna-ochen-dorogo-stoit-ekonomist-yuriy-gorodnichenko--o-polugode-voyny-dlya-ukrainy,5 сентября 2022,Интервью, «Война очень дорого стоит». Экономист Юрий Городниченко — о полугоде войны для Украины   ,"Юрий Городниченко, выпускник Киево-Могилянской академии и профессор Калифорнийского университета в Беркли — один из десяти наиболее часто цитируемых экономистов мира за последние 10 лет. Мы поговорили с Городниченко о том, насколько правильной была экономическая политика Украины в первые полгода войны, могут ли санкции обрушить российскую экономику, как могут быть организованы репарации и какие основные задачи придется решать для восстановления Украины."
https://thebell.io/siemens-energy-ne-uvidela-tekhprichin-dlya-ostanovki-severnogo-potoka,3 сентября 2022,Новости,Siemens Energy не увидела техпричин для остановки «Северного потока»,"Немецкая Siemens Energy, обслуживающая турбины для «Северного потока», заявила об отсутствии технических причин для остановки газопровода, но выразила готовность к работам. Прокачка газа прекратилась 31 августа. «Газпром» должен был возобновить ее с 3 сентября, но вместо этого сообщил о дальнейшей приостановке «Северного потока» на неопределенный срок."
https://thebell.io/v-es-zainteresovalis-vvedeniem-tsenovogo-potolka-na-rossiyskuyu-neft,3 сентября 2022,Новости,В ЕС заинтересовались введением ценового потолка на российскую нефть,Еврокомиссия намерена добиваться от всех стран блока введения ценового потолка на российскую нефть. Эту меру уже одобрили в G7.
https://thebell.io/credit-suisse-predskazal-konets-epokhi-nizkoy-inflyatsii-i-nachalo-velikoy-reflyatsii,2 сентября 2022,Новости,Credit Suisse предсказал конец эпохи низкой инфляции и начало «великой рефляции»,"Раскол союзов Китая и Америки (Chimerica) и Европы с Россией (Eurussia) может привести к тому, что период низкой инфляции в мире окончательно завершится, говорится в отчете Credit Suisse, который цитируют «Ведомости». На смену ему может прийти период «великой рефляции», прогнозируют аналитики."
